"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"232",62.316799,25.736107,37.692501,45.510113,26.4,20.969784,130.339996,124.290001,9.446567,107.156998
"233",61.59367,25.619762,37.567959,45.976215,26.42,21.056995,129.839996,123.849998,9.446567,107.143997
"234",60.119972,25.084553,36.812454,45.59359,26.52,21.13452,129.320007,123.760002,9.462431,107.143997
"235",60.431183,25.255196,37.385307,45.364025,26.34,21.13452,129.699997,122.790001,9.446567,107.2575
"236",59.854511,24.580391,36.696224,44.904896,25.889999,21.231422,128.910004,122.949997,9.462431,107.2575
"237",59.643993,24.53384,37.435131,44.744896,25.940001,21.250803,128.580002,122.220001,9.438632,106.984001
"238",59.817898,24.634678,37.086433,44.355309,26.040001,21.250803,128.470001,123.260002,9.462431,106.984001
"239",59.451756,24.758783,37.011711,44.786629,26.360001,21.21204,128.699997,122.940002,9.496598,107.25
"240",60.293903,25.053534,37.476639,45.002277,26.389999,21.241112,128.520004,122.419998,9.488646,107.389999
"241",59.65313,24.758783,37.285683,45.301411,26.530001,21.386467,127.419998,122,9.488646,107.389999
"242",60.046745,24.58814,37.493244,45.002277,26.25,21.434919,127.019997,122.230003,9.504544,107.32
"243",58.737797,24.270124,37.310596,44.995335,26.1,21.444609,126.790001,122.709999,9.504544,107.68
"244",57.813301,23.990896,36.762642,44.459663,25.959999,21.444609,126.519997,123.650002,9.520437,107.620003
"245",58.060432,23.983135,36.945293,44.341404,25.74,21.493061,126.230003,123.489998,9.512499,107.620003
"246",57.648525,23.95986,36.696224,44.202259,25.809999,21.522131,126.150002,123.629997,9.504544,107.870003
"247",56.971188,23.77371,36.397343,43.374439,25.709999,21.51244,126.449997,122.309998,9.504544,107.760002
"248",56.778946,23.882299,36.455456,43.172707,25.5,21.51244,126.800003,120.879997,9.504544,107.82
"249",57.026085,23.688379,36.480362,43.437038,25.23,21.551201,126.489998,120.760002,9.504544,107.82
"250",58.51812,24.611406,37.177757,44.223145,25.59,21.454298,127.32,118.889999,9.472757,107.650002
"251",59.405998,25.286226,38.082703,44.550098,25.860001,21.250803,128.910004,119.089996,9.472757,107.730003
"252",59.973503,25.278473,38.066101,44.334446,26.15,21.289564,128.5,119.68,9.488646,108.650002
